门店编号,门店名称,电表编号,抄表日期,抄表时间,读数,单位,时区,开门时间,关门时间,抄表员,是否修正,原值
S001,中关村店,M001,2024-06-01,08:00:00,99999.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,是,10012.0
S001,中关村店,M001,2024-06-01,12:00:00,10015.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-01,18:00:00,10023.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-01,22:00:00,10021.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-02,08:00:00,10024.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-02,12:00:00,10027.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-02,18:00:00,10035.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-02,22:00:00,10033.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-03,08:00:00,10036.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-03,12:00:00,10039.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-03,18:00:00,10047.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-03,22:00:00,10045.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-04,08:00:00,10048.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-04,12:00:00,10051.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-04,18:00:00,10059.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-04,22:00:00,10057.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-05,08:00:00,10060.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-05,12:00:00,10063.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-05,18:00:00,10071.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-05,22:00:00,10069.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-06,08:00:00,10072.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-06,12:00:00,10075.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-06,18:00:00,10083.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-06,22:00:00,10081.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-07,08:00:00,10084.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-07,12:00:00,10087.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-07,18:00:00,10095.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-07,22:00:00,10093.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-08,08:00:00,10096.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-08,12:00:00,10099.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-08,18:00:00,10107.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-08,22:00:00,10105.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-09,08:00:00,10108.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-09,12:00:00,10111.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-09,18:00:00,10119.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-09,22:00:00,10117.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-10,08:00:00,10120.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-10,12:00:00,10123.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-10,18:00:00,10131.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-10,22:00:00,10129.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-11,08:00:00,10132.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-11,12:00:00,10135.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-11,18:00:00,10143.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-11,22:00:00,10141.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-12,08:00:00,10144.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-12,12:00:00,10147.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-12,18:00:00,10155.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-12,22:00:00,10153.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-13,08:00:00,10156.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-13,12:00:00,10159.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-13,18:00:00,10167.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-13,22:00:00,10165.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-14,08:00:00,10168.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-14,12:00:00,10171.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-14,18:00:00,10179.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-14,22:00:00,10177.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-15,08:00:00,10180.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-15,12:00:00,10183.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-15,18:00:00,10191.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M001,2024-06-15,22:00:00,10189.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-01,08:00:00,5012.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-01,12:00:00,5015.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-01,18:00:00,5023.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-01,22:00:00,5021.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-02,08:00:00,5024.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-02,12:00:00,5027.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-02,18:00:00,5035.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-02,22:00:00,5033.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-03,08:00:00,5036.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-03,12:00:00,5039.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-03,18:00:00,5047.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-03,22:00:00,5045.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-04,08:00:00,5048.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-04,12:00:00,5051.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-04,18:00:00,5059.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-04,22:00:00,5057.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-05,08:00:00,5060.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-05,12:00:00,5063.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-05,18:00:00,5071.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-05,22:00:00,5069.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-06,08:00:00,5072.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-06,12:00:00,5075.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-06,18:00:00,5083.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
S001,中关村店,M002,2024-06-06,22:00:00,5081.0,kWh,Asia/Shanghai,08:00:00,22:00:00,张三,否,
