store_id,store_name,meter_id,reading_date,reading_time,reading_value,reading_unit,timezone,opening_time,closing_time,operator
S001,中关村店,M001,2024-06-01,08:00,10012,kWh,Asia/Shanghai,08:00,22:00,张三
S001,中关村店,M001,2024-06-01,12:00,10015,kWh,Asia/Shanghai,08:00,22:00,张三
S001,中关村店,M001,2024-06-01,18:00,10023,kWh,Asia/Shanghai,08:00,22:00,张三
S001,中关村店,M001,2024-06-01,22:00,10021,kWh,Asia/Shanghai,08:00,22:00,张三
S001,中关村店,M002,2024-06-01,08:00,5012,kWh,Asia/Shanghai,08:00,22:00,张三
S001,中关村店,M002,2024-06-01,12:00,5015,kWh,Asia/Shanghai,08:00,22:00,张三
S001,中关村店,M002,2024-06-01,18:00,5023,kWh,Asia/Shanghai,08:00,22:00,张三
S001,中关村店,M002,2024-06-01,22:00,5021,kWh,Asia/Shanghai,08:00,22:00,张三
S002,国贸店,M003,2024-06-01,08:00,8012,kWh,Asia/Shanghai,09:00,23:00,张三
S002,国贸店,M003,2024-06-01,12:00,8015,kWh,Asia/Shanghai,09:00,23:00,张三
S002,国贸店,M003,2024-06-01,18:00,8023,kWh,Asia/Shanghai,09:00,23:00,张三
S002,国贸店,M003,2024-06-01,22:00,8021,kWh,Asia/Shanghai,09:00,23:00,张三
S002,国贸店,M004,2024-06-01,08:00,4012,kWh,Asia/Shanghai,09:00,23:00,张三
S002,国贸店,M004,2024-06-01,12:00,4015,kWh,Asia/Shanghai,09:00,23:00,张三
S002,国贸店,M004,2024-06-01,18:00,4023,kWh,Asia/Shanghai,09:00,23:00,张三
S002,国贸店,M004,2024-06-01,22:00,4021,kWh,Asia/Shanghai,09:00,23:00,张三
S003,望京店,M005,2024-06-01,08:00,12012,kWh,Asia/Shanghai,08:30,21:30,张三
S003,望京店,M005,2024-06-01,12:00,12015,kWh,Asia/Shanghai,08:30,21:30,张三
S003,望京店,M005,2024-06-01,18:00,12023,kWh,Asia/Shanghai,08:30,21:30,张三
S003,望京店,M005,2024-06-01,22:00,12021,kWh,Asia/Shanghai,08:30,21:30,张三
S003,望京店,M006,2024-06-01,08:00,6012,kWh,Asia/Shanghai,08:30,21:30,张三
S003,望京店,M006,2024-06-01,12:00,6015,kWh,Asia/Shanghai,08:30,21:30,张三
S003,望京店,M006,2024-06-01,18:00,6023,kWh,Asia/Shanghai,08:30,21:30,张三
S003,望京店,M006,2024-06-01,22:00,6021,kWh,Asia/Shanghai,08:30,21:30,张三
S001,中关村店,M001,2024-06-02,08:00,10024,kWh,Asia/Shanghai,08:00,22:00,张三
S001,中关村店,M001,2024-06-02,12:00,10027,kWh,Asia/Shanghai,08:00,22:00,张三
S001,中关村店,M001,2024-06-02,18:00,10035,kWh,Asia/Shanghai,08:00,22:00,张三
S001,中关村店,M001,2024-06-02,22:00,10033,kWh,Asia/Shanghai,08:00,22:00,张三
S001,中关村店,M002,2024-06-02,08:00,5024,kWh,Asia/Shanghai,08:00,22:00,张三
S001,中关村店,M002,2024-06-02,12:00,5027,kWh,Asia/Shanghai,08:00,22:00,张三
S001,中关村店,M002,2024-06-02,18:00,5035,kWh,Asia/Shanghai,08:00,22:00,张三
S001,中关村店,M002,2024-06-02,22:00,5033,kWh,Asia/Shanghai,08:00,22:00,张三
S002,国贸店,M003,2024-06-02,08:00,8024,kWh,Asia/Shanghai,09:00,23:00,张三
S002,国贸店,M003,2024-06-02,12:00,8027,kWh,Asia/Shanghai,09:00,23:00,张三
S002,国贸店,M003,2024-06-02,18:00,8035,kWh,Asia/Shanghai,09:00,23:00,张三
S002,国贸店,M003,2024-06-02,22:00,8033,kWh,Asia/Shanghai,09:00,23:00,张三
S002,国贸店,M004,2024-06-02,08:00,4024,kWh,Asia/Shanghai,09:00,23:00,张三
S002,国贸店,M004,2024-06-02,12:00,4027,kWh,Asia/Shanghai,09:00,23:00,张三
S002,国贸店,M004,2024-06-02,18:00,4035,kWh,Asia/Shanghai,09:00,23:00,张三
S002,国贸店,M004,2024-06-02,22:00,4033,kWh,Asia/Shanghai,09:00,23:00,张三
S003,望京店,M005,2024-06-02,08:00,12024,kWh,Asia/Shanghai,08:30,21:30,张三
S003,望京店,M005,2024-06-02,12:00,12027,kWh,Asia/Shanghai,08:30,21:30,张三
S003,望京店,M005,2024-06-02,18:00,12035,kWh,Asia/Shanghai,08:30,21:30,张三
S003,望京店,M005,2024-06-02,22:00,12033,kWh,Asia/Shanghai,08:30,21:30,张三
S003,望京店,M006,2024-06-02,08:00,6024,kWh,Asia/Shanghai,08:30,21:30,张三
S003,望京店,M006,2024-06-02,12:00,6027,kWh,Asia/Shanghai,08:30,21:30,张三
S003,望京店,M006,2024-06-02,18:00,6035,kWh,Asia/Shanghai,08:30,21:30,张三
S003,望京店,M006,2024-06-02,22:00,6033,kWh,Asia/Shanghai,08:30,21:30,张三
